LocationOfPresenceName,Impressions,Clicks,Ctr,Cost,Sessions,Conversions,ConversionRate,CostPerConversion
Болховский район,1,0,0.00,0.00,0,0,--,--
Большая Елховка,1,0,0.00,0.00,0,0,--,--
Большая Черниговка,1,0,0.00,0.00,0,0,--,--
Большезадоевское,1,0,0.00,0.00,0,0,--,--
Большекабанское сельское поселение,2,0,0.00,0.00,0,0,--,--
Большекосульский сельсовет,1,0,0.00,0.00,0,0,--,--
Большемуртинский район,2,0,0.00,0.00,0,0,--,--
Большеорловское сельское поселение,4,0,0.00,0.00,0,0,--,--
Большеречье,5,0,0.00,0.00,0,0,--,--
Большесосновский район,1,0,0.00,0.00,0,0,--,--
Большеталдинское сельское поселение,3,0,0.00,0.00,0,0,--,--
Большеустьикинское,2,0,0.00,0.00,0,0,--,--
Большечаусовский сельсовет,6,0,0.00,0.00,0,0,--,--
Большие Салы,2,0,0.00,0.00,0,0,--,--
Большое Болдино,2,0,0.00,0.00,0,0,--,--
Большое Козино,7,0,0.00,0.00,0,0,--,--
Большое Нагаткино,2,0,0.00,0.00,0,0,--,--
Большое Сорокино,1,0,0.00,0.00,0,0,--,--
Большой Камень,6,0,0.00,0.00,0,0,--,--
Большой Лог,1,0,0.00,0.00,0,0,--,--
Большой Луг,2,0,0.00,0.00,0,0,--,--
Большой Улуй,1,0,0.00,0.00,0,0,--,--
Бондаревский сельсовет,3,0,0.00,0.00,0,0,--,--
Бор,4,0,0.00,0.00,0,0,--,--
Борисовское сельское поселение,2,0,0.00,0.00,0,0,--,--
Борисовское сельское поселение,4,0,0.00,0.00,0,0,--,--
Борисоглебск,14,0,0.00,0.00,0,0,--,--
Борисоглебский,1,0,0.00,0.00,0,0,--,--
Боровихинский сельсовет,2,0,0.00,0.00,0,0,--,--
Боровский,11,0,0.00,0.00,0,0,--,--
Борогонцы,2,0,0.00,0.00,0,0,--,--
Бородино,8,0,0.00,0.00,0,0,--,--
Ботлих,23,0,0.00,0.00,0,0,--,--
Бохан,1,0,0.00,0.00,0,0,--,--
Брасово,2,0,0.00,0.00,0,0,--,--
Братковское сельское поселение,1,0,0.00,0.00,0,0,--,--
Братск,61,0,0.00,0.00,0,0,--,--
Братский район,1,0,0.00,0.00,0,0,--,--
Бреды,1,0,0.00,0.00,0,0,--,--
Брюховецкая,4,0,0.00,0.00,0,0,--,--
Бубинское сельское поселение,1,0,0.00,0.00,0,0,--,--
Бугульма,10,0,0.00,0.00,0,0,--,--
Бугульминский район,1,0,0.00,0.00,0,0,--,--
Бугуруслан,17,0,0.00,0.00,0,0,--,--
Бугурусланский район,2,0,0.00,0.00,0,0,--,--
Буденновское сельское поселение,1,0,0.00,0.00,0,0,--,--
Будённовск,11,0,0.00,0.00,0,0,--,--
Бузулук,16,0,0.00,0.00,0,0,--,--
Бузулукский район,1,0,0.00,0.00,0,0,--,--
Буинский район,1,0,0.00,0.00,0,0,--,--
Буй,1,0,0.00,0.00,0,0,--,--
Буйнакск,25,0,0.00,0.00,0,0,--,--
Буйнакский район,1,0,0.00,0.00,0,0,--,--
Бураево,6,0,0.00,0.00,0,0,--,--
Бурашевское сельское поселение,1,0,0.00,0.00,0,0,--,--
Бутурлино,7,0,0.00,0.00,0,0,--,--
Быково,1,0,0.00,0.00,0,0,--,--
Быстрый Исток,18,0,0.00,0.00,0,0,--,--
Быстрянский сельсовет,5,0,0.00,0.00,0,0,--,--
Вагайцевский сельсовет,2,0,0.00,0.00,0,0,--,--
Вадинский район,1,0,0.00,0.00,0,0,--,--
Валдай,7,0,0.00,0.00,0,0,--,--
Валериановск,3,0,0.00,0.00,0,0,--,--
Ванино,1,0,0.00,0.00,0,0,--,--
Вараксино,2,0,0.00,0.00,0,0,--,--
Варваровский сельсовет,3,0,0.00,0.00,0,0,--,--
Варгашинский район,4,0,0.00,0.00,0,0,--,--
Варламово,10,0,0.00,0.00,0,0,--,--
Варламовское сельское поселение,2,0,0.00,0.00,0,0,--,--
Варна,8,0,0.00,0.00,0,0,--,--
Варненский район,1,0,0.00,0.00,0,0,--,--
Васильево,1,0,0.00,0.00,0,0,--,--
Васильково,4,0,0.00,0.00,0,0,--,--
Вача,11,0,0.00,0.00,0,0,--,--
Введенский сельсовет,4,0,0.00,0.00,0,0,--,--
Великие Луки,20,0,0.00,0.00,0,0,--,--
Великий Устюг,14,0,0.00,0.00,0,0,--,--
Величаевский сельсовет,3,0,0.00,0.00,0,0,--,--
Вельск,1,0,0.00,0.00,0,0,--,--
Вельяминово,1,0,0.00,0.00,0,0,--,--
Венесуэла,3,0,0.00,0.00,0,0,--,--
Венёв,1,0,0.00,0.00,0,0,--,--
Верещагино,12,0,0.00,0.00,0,0,--,--
Верх-Ирменский сельсовет,7,0,0.00,0.00,0,0,--,--
Верх-Тула,6,0,0.00,0.00,0,0,--,--
